stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,area_id
54774,Grand Av & MacArthur Blvd,54774,,37.81029,-122.24892,AC:63324,,0,,,0,,54774
58158,Grand Av & Mandana Blvd,58158,,37.81395,-122.24628,AC:63324,,0,,,0,,58158
58819,Grand Av & Park View Ter,58819,,37.80982,-122.25922,AC:63324,,0,,,0,,58819
55542,Grand Av & Perkins St,55542,,37.80907,-122.25596,AC:63324,,0,,,0,,55542
55144,Grand Av & Perkins St,55144,,37.80887,-122.25639,AC:63324,,0,,,0,,55144
57077,Grand Av & Santa Clara Av,57077,,37.81164,-122.24801,AC:63324,,0,,,0,,57077
56442,Grand Av & Staten Av,56442,,37.80869,-122.25407,AC:63324,,0,,,0,,56442
51351,Grand Av & Staten Av,51351,,37.80888,-122.25361,AC:63324,,0,,,0,,51351
50820,Grand Av & Sunnyside Av,50820,,37.82057,-122.24429,AC:63324,,0,,,0,,50820
53947,Grand Av & Valdez St,53947,,37.81133,-122.26446,AC:63324,,0,,,0,,53947
52899,Grand Av & Webster St,52899,,37.81111,-122.26508,AC:63324,,0,,,0,,52899
55818,Grand Av & Weldon Av,55818,,37.81642,-122.24564,AC:63324,,0,,,0,,55818
50688,Grand Av & Weldon Av,50688,,37.81624,-122.24540,AC:63324,,0,,,0,,50688
55612,Grand Av & Wildwood Av,55612,,37.81864,-122.24463,AC:63324,,0,,,0,,55612
56760,Grand St & Dean St,56760,,37.66557,-122.08642,AC:63324,,0,,,0,,56760
52423,Grand St & Dean St,52423,,37.66563,-122.08620,AC:63324,,0,,,0,,52423
59934,Grand St & Shoreline Dr,59934,,37.75975,-122.26384,AC:63324,,0,,,0,,59934
56322,Grant Av & Bockman Rd,56322,,37.67374,-122.15003,AC:63324,,0,,,0,,56322
55141,Grant Av & Bockman Rd,55141,,37.67369,-122.14974,AC:63324,,0,,,0,,55141
50470,Grant Av & Channel St,50470,,37.67718,-122.14316,AC:63324,,0,,,0,,50470
54933,Grant Av & Channel St,54933,,37.67739,-122.14209,AC:63324,,0,,,0,,54933
56898,Grant Av & Nielson Av,56898,,37.67832,-122.14042,AC:63324,,0,,,0,,56898
57488,Grant Av & Nielson Av,57488,,37.67838,-122.13957,AC:63324,,0,,,0,,57488
52348,Grant Av &  Via Nueva,52348,,37.67504,-122.14703,AC:63324,,0,,,0,,52348
52985,Grant Av & Via Nueva,52985,,37.67512,-122.14724,AC:63324,,0,,,0,,52985
58826,Greenly Dr & Columbian Dr,58826,,37.77291,-122.16440,AC:63324,,0,,,0,,58826
56449,Greenly Dr & Columbian Dr,56449,,37.77300,-122.16437,AC:63324,,0,,,0,,56449
53995,Greenly Dr & Edwards Av,53995,,37.77449,-122.16670,AC:63324,,0,,,0,,53995
59232,Greenly Dr & Field St,59232,,37.77174,-122.16206,AC:63324,,0,,,0,,59232
57443,Greenly Dr & Field St,57443,,37.77180,-122.16226,AC:63324,,0,,,0,,57443
