route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
AC:73,AC:72906,AC:9305020,Eastmont Transit Center,,0,AC:108002402,AC:shp-73-01,0,0
SF:1,SF:73692,SF:9413192,Geary + 33rd Avenue,,1,SF:120,SF:179929,0,0
SF:8,SF:73694,SF:9569637,Fisherman's Wharf,,0,SF:806,SF:179981,0,0
AC:33,AC:72906,AC:9519020,Montclair,,1,AC:107546702,AC:shp-33-11,0,0
AC:51A,AC:72907,AC:12400010,Rockridge BART,,1,AC:108030201,AC:shp-51A-16,2,2
SF:45,SF:73693,SF:9547210,Presidio Av + Sutter,,1,SF:4507,SF:180169,0,0
AC:40,AC:72907,AC:3563010,Downtown Oakland,,0,AC:108033401,AC:shp-40-15,2,2
SF:14,SF:73694,SF:9569066,Ferry Plaza,,1,SF:1425,SF:180017,0,0
ST:6,ST:76068,ST:t321-b1F5-slB,TENNESSEE to VTC VTC,,0,ST:501,ST:2666_shp,0,0
AC:41,AC:72907,AC:9497010,Hayward BART,,0,AC:107906801,AC:shp-41-03,0,0
CC:21,CC:75939,CC:79020,Walnut Creek BART,,1,CC:3802,CC:shp-21-01,2,2
SM:292,SM:73026,SM:2921022,San Francisco,2921022,1,,SM:2921168,0,0
AC:33,AC:72905,AC:3135070,Piedmont,,0,AC:106979407,AC:shp-33-12,2,2
SF:12,SF:73693,SF:9542693,Sansome + Sutter,,0,SF:1202,SF:180007,0,0
SF:MBUS,SF:73692,SF:9721600,West Portal Station,,1,SF:9636,SF:180394,0,0
SM:17,SM:73026,SM:171021,Moonridge Apts,171021,1,,SM:170517,0,0
SC:40,SC:75706,SC:2975911,MOUNTAIN VIEW TRANSIT CTR,,0,SC:4042,SC:100299,0,0
AC:73,AC:72907,AC:6874010,OAKLAND AIRPORT,,1,AC:108028901,AC:shp-73-51,0,0
SF:1,SF:73694,SF:9414358,Geary + 33rd Avenue,,1,SF:138,SF:179929,0,0
CC:316,CC:75938,CC:1060070,PH  BART Via Martinez AMTRAK,,0,CC:4407,CC:shp-316-51,2,2
SC:Green Line,SC:72916,SC:2989726,OLD IRONSIDES,,0,SC:9030,SC:100679,0,0
SM:281,SM:73025,SM:2817024,Onetta Harris Center,2817024,0,,SM:2810256,0,0
ST:R,ST:76068,ST:t64C-bBBF-slB,RED LINE to EL CERRITO DEL NORTE El Cerrito Del No,,0,ST:3007,ST:2709_shp,0,0
WH:30R,WH:75836,WH:679345,WEST DUBLIN BART VIA LAS POSITAS COLLEGE,,1,WH:119388,WH:38972,0,0
PE:2,PE:76181,PE:t2F6-sl19-p84-r12,2 N. Mcdowell Outbound,,0,PE:22,PE:132_shp,0,0
SF:38,SF:73694,SF:9548889,Transit Center,,1,SF:3803,SF:180134,0,0
SF:24,SF:73694,SF:9562291,Jackson + Fillmore,,0,SF:2401,SF:180058,0,0
ST:5,ST:73007,ST:t6C2-b1F6-sl9,SIX FLAGS to FAIRGROUNDS Fairgrounds via Ferry Kai,,0,ST:502,ST:2671_shp,0,0
SF:14R,SF:73693,SF:9556431,Ferry Plaza,,1,SF:1460,SF:180022,0,0
SC:Green Line,SC:72914,SC:2989635,OLD IRONSIDES,,0,SC:9036,SC:100679,0,0
SC:22,SC:76168,SC:2973065,PALO ALTO,,0,SC:2245,SC:100239,0,0
FS:8,FS:76115,FS:t_1213460_b_26749_tn_5,CORDELIA LIBRARY,,1,FS:0801,FS:p_2491,0,0
SF:37,SF:73693,SF:9555092,Van Ness Station,,0,SF:3701,SF:181675,0,0
MA:245,MA:76018,MA:245800,Smith Ranch Rd Contempo,,1,MA:8012,MA:88,0,0
SM:ECR,SM:75922,SM:4006049,Palo Alto,4006049,0,,SM:ECR1048,0,0
BA:RD-S,BA:72953,BA:4070911,Millbrae (Caltrain Transfer Platform),,0,,BA:07_shp,0,0
SM:120,SM:75922,SM:1206091,Colma BART,1206091,0,,SM:1200274,0,0
AC:40,AC:72906,AC:6906020,Downtown Oakland,,0,AC:108004502,AC:shp-40-03,0,0
SF:22,SF:73693,SF:9552753,Bay Street,,1,SF:2216,SF:180041,0,0
GG:101,GG:75205,GG:6865438,SANTA ROSA,,0,GG:1486510,GG:1010368,0,0
AC:33,AC:72905,AC:9920070,Piedmont,,0,AC:106979507,AC:shp-33-12,2,2
3D:393,3D:76082,3D:325,Eastbound Brentwood Park & Ride,,0,3D:314,3D:70,0,0
SM:ECR,SM:73026,SM:4001024,Daly City BART,4001024,1,,SM:ECR1046,0,0
GG:101,GG:75205,GG:6865460,SAN FRANCISCO MISSION & FREMONT,,1,GG:1486494,GG:1010357,0,0
SF:25,SF:73692,SF:9540046,Temporary Transbay Terminal,,0,SF:2506,SF:180064,0,0
SM:120,SM:73026,SM:1201023,Colma BART,1201023,0,,SM:1200274,0,0
SC:84,SC:75706,SC:2985453,GILROY TRANSIT CTR,,1,SC:8501,SC:100528,0,0
