route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
SC:Rapid 500,SC,Rapid 500,San Jose Diridon Station - Berryessa BART,"Rapid buses may depart up to five minutes earlier than the time shown, if traffic allows.",3,https://www.vta.org/go/routes/rapid-500,e4002b,FFFFFF,0
SC:Blue Line,SC,Blue Line,Baypointe - Santa Teresa,,0,https://www.vta.org/go/routes/blue-line,4cb4e7,000000,0
SC:Rapid 522,SC,Rapid 522,Palo Alto Transit Center - Eastridge,"Rapid buses may depart up to five minutes earlier than the time shown, if traffic allows.",3,https://www.vta.org/go/routes/rapid-522,e4002b,FFFFFF,0
SC:21,SC,21,Stanford Shopping Center - Santa Clara Transit Center,,3,https://www.vta.org/go/routes/21,29588c,FFFFFF,0
SC:Green Line,SC,Green Line,Old Ironsides - Winchester,,0,https://www.vta.org/go/routes/green-line,73c92d,000000,0
SC:Rapid 523,SC,Rapid 523,Berryessa BART -  Lockheed Martin via De Anza College,"Rapid buses may depart up to five minutes earlier than the time shown, if traffic allows.",3,https://www.vta.org/go/routes/rapid-523,e4002b,FFFFFF,0
SC:51H,SC,51H,Moffett Field/Ames Center - De Anza College,,3,https://www.vta.org/go/routes/51h,29588c,FFFFFF,0
SC:61,SC,61,Sierra & Piedmont - Good Samaritan Hospital,,3,https://www.vta.org/go/routes/61,e4002b,FFFFFF,0
SC:Express 101,SC,Express 101,Camden & Highway 85 - Stanford Research Park,,3,https://www.vta.org/go/routes/101,00b140,000000,0
SC:Express 102,SC,Express 102,South San Jose - Stanford Research Park,,3,https://www.vta.org/go/routes/102,00b140,000000,0
SC:Express 103,SC,Express 103,Eastridge - Stanford Research Park,,3,https://www.vta.org/go/routes/103,00b140,000000,0
SC:Express 104,SC,Express 104,Milpitas BART - Stanford Research Park,,3,https://www.vta.org/go/routes/104,00b140,000000,0
SC:ACE Gray,SC,ACE Gray,Great America ACE Station -  South Sunnyvale,,3,,939598,FFFFFF,0
SC:ACE Green,SC,ACE Green,Great America ACE Station -  North Santa Clara,,3,,0e9972,FFFFFF,0
SC:ACE Orange,SC,ACE Orange,Great America ACE Station -  Mountain View,,3,,f69238,FFFFFF,0
SC:ACE Purple,SC,ACE Purple,Great America ACE Station -  West Milpitas,,3,,263996,FFFFFF,0
SC:ACE Red,SC,ACE Red,Great America ACE Station -  North Sunnyvale,,3,,d60e51,FFFFFF,0
SC:ACE Yellow,SC,ACE Yellow,Great America ACE Station -  South Santa Clara,,3,,ffe601,000000,0
SC:ACE Brown,SC,ACE Brown,Great America ACE Station -  South Sunnyvale,,3,,6d4739,FFFFFF,0
SC:ACE Violet,SC,ACE Violet,Great America ACE Station -  VTA Light Rail,,3,,bbb7da,000000,0
SC:44,SC,44,Milpitas BART - McCarthy Ranch via Tasman & Alder,,3,https://www.vta.org/go/routes/44,29588c,FFFFFF,0
SC:56,SC,56,Lockheed Martin - Tamien Station,,3,https://www.vta.org/go/routes/56,29588c,FFFFFF,0
SC:59,SC,59,Valley Fair - Baypointe Station via Alviso,,3,https://www.vta.org/go/routes/59,29588c,FFFFFF,0
SC:20,SC,20,Milpitas BART - Sunnyvale Transit Center,,3,https://www.vta.org/go/routes/20,29588c,FFFFFF,0
SC:40,SC,40,Foothill College - Mountain View Transit Center via North Bayshore,,3,https://www.vta.org/go/routes/40,29588c,FFFFFF,0
SC:51,SC,51,Moffett Field/Ames Center - West Valley College,,3,https://www.vta.org/go/routes/51,29588c,FFFFFF,0
SC:64A,SC,64A,McKee & White - Ohlone-Chynoweth Station,,3,https://www.vta.org/go/routes/64A,e4002b,FFFFFF,0
SC:64B,SC,64B,McKee & White - Almaden Expressway & Camden,,3,https://www.vta.org/go/routes/64B,e4002b,FFFFFF,0
SC:86,SC,86,Gavilan College - Gilroy Transit Center,,3,https://www.vta.org/go/routes/86,29588c,FFFFFF,0
SC:84,SC,84,Gilroy Transit Center - Saint Louise Hospital via Gilroy Outlets,,3,https://www.vta.org/go/routes/84,29588c,FFFFFF,0
SC:85,SC,85,Gilroy Transit Center - Saint Louise Hospital via west Gilroy,,3,https://www.vta.org/go/routes/85,29588c,FFFFFF,0
SC:87,SC,87,Morgan Hill Civic Center - Burnett Avenue,,3,https://www.vta.org/go/routes/87,29588c,FFFFFF,0
SC:52,SC,52,Foothill College - Mountain View Transit Center via El Monte,,3,https://www.vta.org/go/routes/52,29588c,FFFFFF,0
SC:89,SC,89,California Avenue Caltrain - Palo Alto VA Hospital,,3,https://www.vta.org/go/routes/89,29588c,FFFFFF,0
SC:53,SC,53,Sunnyvale Transit Center - Santa Clara Transit Center,,3,https://www.vta.org/go/routes/53,29588c,FFFFFF,0
SC:42,SC,42,Evergreen Valley College - Santa Teresa Station,,3,https://www.vta.org/go/routes/42,29588c,FFFFFF,0
SC:77,SC,77,Milpitas BART - Eastridge via King,,3,https://www.vta.org/go/routes/77,e4002b,FFFFFF,0
SC:22,SC,22,Palo Alto Transit Center - Eastridge,,3,https://www.vta.org/go/routes/22,e4002b,FFFFFF,0
GF:LF,GF,LF,Larkspur - San Francisco Ferry,,4,http://goldengateferry.org/schedules/Larkspur.php,0000FF,FFFFFF,0
GF:SF,GF,SF,Sausalito - San Francisco Ferry,,4,http://goldengateferry.org/schedules/Sausalito.php,0000FF,FFFFFF,0
GF:TF,GF,TF,Tiburon - San Francisco Ferry,,4,,0000FF,FFFFFF,0
CE:ACE,CE,ACE,Altamont Corridor Express,,2,https://acerail.com/schedules/,bd10e0,FFFFFF,0
UC:1,UC,1,Delores,"Union Landing, Four Corners, Dyer & Union City Blvd, and Union City BART",3,,3ab859,,0
UC:4,UC,4,Tamarack,"Seven Hills, Whipple Rd, Calaveras Landing, Union Landing, Continues as Route 3 to Tropics and Union City BART",3,,f99523,,0
UC:8,UC,8,Alvarado-Niles,"Perry Rd, Union Landing, Kaiser, Continues as Route 2 to Whipple Rd, Decoto District, and Union City BART",3,,3b8a26,,0
UC:5,UC,5,Dyer,"Union Landing, Four Corners, Dyer & Union City Blvd, and Union City BART",3,,fd00a6,,0
UC:3,UC,3,Almaden,"Tropics, Union Landing, Continues as Route 4 to Calaveras Landing, Whipple Rd, Seven Hills, and Union City BART",3,,43afff,,0
UC:2,UC,2,Whipple,"Decoto District, Whipple Rd, Kaiser, Continues as Route 8 to Union Landing, Perry Rd, and Union City BART",3,,7235f9,,0
PE:3,PE,3,Eastside Clockwise,,3,http://petaluma.rideralerts.com/infopoint3,00AAEB,FFFFFF,0
PE:501,PE,501,Pjhs/phs/smart,,3,http://petaluma.rideralerts.com/infopoint501,9E003A,FFFFFF,0
PE:2,PE,2,N. Mcdowell,,3,http://petaluma.rideralerts.com/infopoint2,D1232F,FFFFFF,0
PE:24,PE,24,Smart - Lakeville -Kaiser,,3,http://petaluma.rideralerts.com/infopoint24,F7911D,FFFFFF,0
PE:11,PE,11,Crosstown,,3,http://petaluma.rideralerts.com/infopoint11,763491,FFFFFF,0
PE:301,PE,301,N. Mcdowell/etc/kjhs/cghs,,3,http://petaluma.rideralerts.com/infopoint301,4CB36E,FFFFFF,0
PE:302,PE,302,Kjhs/cghs N. Mcdowell,,3,http://petaluma.rideralerts.com/infopoint302,b44c8f,FFFFFF,0
PE:303,PE,303,Kjhs/cghs,,3,http://petaluma.rideralerts.com/infopoint303,005c66,FFFFFF,0
PE:311,PE,311,Downtown Kjhs/cghs,,3,http://petaluma.rideralerts.com/infopoint311,F15b4f,FFFFFF,0
PE:33,PE,33,Eastside Counter-Clock,,3,http://petaluma.rideralerts.com/infopoint33,293F8B,FFFFFF,0
PE:312,PE,312,Cghs / Eastside Transit Center,,3,http://petaluma.rideralerts.com/infopoint312,559AB4,ffffff,0
PE:10,PE,10,Petaluma Blvd,,3,http://petaluma.rideralerts.com/infopoint10,B53B2C,FFFFFF,0
CC:35,CC,35,ROUTE 35,,3,,006493,000000,0
CC:10,CC,10,ROUTE 10,,3,,006493,000000,0
CC:17,CC,17,ROUTE 17,,3,,006493,000000,0
CC:18,CC,18,ROUTE 18,,3,,006493,000000,0
CC:20,CC,20,ROUTE 20,,3,,006493,000000,0
CC:15,CC,15,ROUTE 15,,3,,006493,000000,0
CC:21,CC,21,ROUTE 21,,3,,006493,000000,0
CC:28,CC,28,ROUTE 28,,3,,800000,000000,0
CC:16,CC,16,ROUTE 16,,3,,46a076,000000,0
CC:310,CC,310,ROUTE 310,,3,,9c629d,000000,0
CC:316,CC,316,ROUTE 316,,3,,9c629d,000000,0
CC:320,CC,320,ROUTE 320,,3,,9c629d,000000,0
CC:98X,CC,98X,ROUTE 98X,,3,,de9634,000000,0
CC:19,CC,19,ROUTE 19,,3,,006493,000000,0
CC:311,CC,311,ROUTE 311,,3,,9c629d,000000,0
CC:7,CC,7,ROUTE 7,,3,,46a076,000000,0
CC:314,CC,314,ROUTE 314,,3,,9c629d,000000,0
CC:9,CC,9,ROUTE 9,,3,,006493,000000,0
CC:91X,CC,91X,ROUTE 91X,,3,,de9634,000000,0
CC:315,CC,315,ROUTE 315,,3,,9c629d,000000,0
CC:5,CC,5,ROUTE 5,,3,,46a076,000000,0
CC:6,CC,6,ROUTE 6,,3,,006493,000000,0
CC:92X,CC,92X,ROUTE 92X,,3,,de9634,000000,0
CC:93X,CC,93X,ROUTE 93X,,3,,de9634,000000,0
CC:95X,CC,95X,ROUTE 95X,,3,,de9634,000000,0
CC:96X,CC,96X,ROUTE 96X,,3,,de9634,000000,0
CC:321,CC,321,ROUTE 321,,3,,9c629d,000000,0
CC:14,CC,14,ROUTE 14,,3,,46a076,000000,0
CC:27,CC,27,ROUTE 27,,3,,006493,000000,0
CC:335,CC,335,ROUTE 335,,3,,9c629d,000000,0
CC:11,CC,11,ROUTE 11,,3,,46a076,000000,0
CC:97X,CC,97X,ROUTE 97X,,3,,de9634,000000,0
CC:4,CC,4,ROUTE 4,,3,,46a076,000000,0
CC:99X,CC,99X,ROUTE 99X,,3,,de9634,000000,0
CC:1,CC,1,ROUTE 1,,3,,006493,000000,0
SR:2,SR,2,Sebastopol Rd Corp Center,,3,https://santarosaivl.availtec.com/InfoPoint?routes[selected]=2,EF692F,FFFFFF,0
SR:2B,SR,2B,Sebastopol Road,,3,https://santarosaivl.availtec.com/InfoPoint?routes[selected]=20,662D91,FFFFFF,0
SR:15,SR,15,Stony Point Road,,3,https://santarosaivl.availtec.com/InfoPoint?routes[selected]=15,2DACCE,FFFFFF,0
SR:8,SR,8,Bennett Valley,,3,https://santarosaivl.availtec.com/InfoPoint?routes[selected]=8,EF692F,FFFFFF,0
SR:9,SR,9,West 9th Street,,3,https://santarosaivl.availtec.com/InfoPoint?routes[selected]=9,8094C4,FFFFFF,0
SR:4,SR,4,Rincon Valley,,3,https://santarosaivl.availtec.com/InfoPoint?routes[selected]=4,39B54A,FFFFFF,0
SR:5,SR,5,Petaluma Hill Rd,,3,https://santarosaivl.availtec.com/InfoPoint?routes[selected]=5,E9C01E,FFFFFF,0
SR:6,SR,6,Fulton Road,,3,https://santarosaivl.availtec.com/InfoPoint?routes[selected]=6,B8093D,FFFFFF,0
SR:18,SR,18,East Circulator,,3,https://santarosaivl.availtec.com/InfoPoint?routes[selected]=18,274867,FFFFFF,0
SR:1,SR,1,Mendocino Ave,,3,https://santarosaivl.availtec.com/InfoPoint?routes[selected]=1,0074B3,FFFFFF,0
SR:3,SR,3,Santa Rosa Ave,,3,https://santarosaivl.availtec.com/InfoPoint?routes[selected]=3,ED017F,FFFFFF,0
SR:12,SR,12,Corby Ave - Roseland,,3,https://santarosaivl.availtec.com/InfoPoint?routes[selected]=12,0BA08E,FFFFFF,0
SR:10,SR,10,North City Connector,,3,https://santarosaivl.availtec.com/InfoPoint?routes[selected]=10,F99F38,FFFFFF,0
EM:Hollis South,EM,Hollis South,,,3,https://www.emerygoround.com/commute-service.html,ffb311,000000,0
EM:Hollis North,EM,Hollis North,,,3,https://www.emerygoround.com/commute-service.html,ff0001,ffffff,0
EM:North Shellmound,EM,North Shellmound,,,3,https://www.emerygoround.com/commute-service.html,603669,ffffff,0
EM:Hollis,EM,Hollis,,,3,https://www.emerygoround.com/standard-service.html,ff0001,ffffff,0
EM:Shellmound/Powell,EM,Shellmound/Powell,,,3,,5e3767,ffffff,0
EM:South Shellmound/Powell,EM,South Shellmound/Powell,,,3,,9b6bdf,000000,0
EM:Watergate Express,EM,Watergate Express,,,3,https://www.emerygoround.com/commute-service.html,00a1ea,000000,0
AC:G,AC,G,Colusa - Solano Transbay,,3,http://www.actransit.org/bus-lines-schedules/G,FFFF00,000000,0
AC:46L,AC,46L,82nd Ave. - Grass Valley Limited,,3,http://www.actransit.org/bus-lines-schedules/46L,87CEEB,000000,0
AC:604,AC,604,Head Royce - Hebrew Day - Berk.,,3,http://www.actransit.org/bus-lines-schedules/604,ffffff,000000,0
AC:605,AC,605,Head Royce - Montclair - College,,3,http://www.actransit.org/bus-lines-schedules/605,ffffff,000000,0
AC:14,AC,14,14th St - San Antonio - High St,,3,http://www.actransit.org/bus-lines-schedules/14,E0B0FF,000000,0
AC:72M,AC,72M,Macdonald - San Pablo,,3,http://www.actransit.org/bus-lines-schedules/72M,EE82EE,000000,0
AC:99,AC,99,Mission - Decoto - Fremont Blvd.,,3,http://www.actransit.org/bus-lines-schedules/99,008000,000000,0
